*** SWAPCONTEXT FROM 0 TO 1
*** SWAPCONTEXT FROM 1 TO 2
*** SWAPCONTEXT FROM 2 TO 3
*** SWAPCONTEXT FROM 3 TO 4
*** SWAPCONTEXT FROM 4 TO 5
*** SWAPCONTEXT FROM 5 TO 0
*** THREAD 0 FINISHED
*** THREAD 0 TERMINATED: SETCONTEXT  OF 1
*** SWAPCONTEXT FROM 1 TO 2
*** SWAPCONTEXT FROM 2 TO 3
*** SWAPCONTEXT FROM 3 TO 4
*** SWAPCONTEXT FROM 4 TO 5
*** SWAPCONTEXT FROM 5 TO 1
*** SWAPCONTEXT FROM 1 TO 2
*** SWAPCONTEXT FROM 2 TO 3
*** SWAPCONTEXT FROM 3 TO 4
*** SWAPCONTEXT FROM 4 TO 5
*** SWAPCONTEXT FROM 5 TO 1
*** SWAPCONTEXT FROM 1 TO 2
*** SWAPCONTEXT FROM 2 TO 3
*** SWAPCONTEXT FROM 3 TO 4
*** SWAPCONTEXT FROM 4 TO 5
*** SWAPCONTEXT FROM 5 TO 1
*** SWAPCONTEXT FROM 1 TO 2
*** SWAPCONTEXT FROM 2 TO 3
*** SWAPCONTEXT FROM 3 TO 4
*** SWAPCONTEXT FROM 4 TO 5
*** SWAPCONTEXT FROM 5 TO 1
*** SWAPCONTEXT FROM 1 TO 2
*** SWAPCONTEXT FROM 2 TO 3
*** SWAPCONTEXT FROM 3 TO 4
*** SWAPCONTEXT FROM 4 TO 5
*** THREAD 5 FINISHED
*** THREAD 5 TERMINATED: SETCONTEXT  OF 1
*** SWAPCONTEXT FROM 1 TO 2
*** SWAPCONTEXT FROM 2 TO 3
*** SWAPCONTEXT FROM 3 TO 4
*** SWAPCONTEXT FROM 4 TO 1
*** SWAPCONTEXT FROM 1 TO 2
*** SWAPCONTEXT FROM 2 TO 3
*** SWAPCONTEXT FROM 3 TO 4
*** SWAPCONTEXT FROM 4 TO 1
*** SWAPCONTEXT FROM 1 TO 2
*** SWAPCONTEXT FROM 2 TO 3
*** SWAPCONTEXT FROM 3 TO 4
*** SWAPCONTEXT FROM 4 TO 1
*** SWAPCONTEXT FROM 1 TO 2
*** SWAPCONTEXT FROM 2 TO 3
*** SWAPCONTEXT FROM 3 TO 4
*** SWAPCONTEXT FROM 4 TO 1
*** THREAD 1 FINISHED
*** THREAD 1 TERMINATED: SETCONTEXT  OF 2
*** THREAD 2 FINISHED
*** THREAD 2 TERMINATED: SETCONTEXT  OF 3
*** THREAD 3 FINISHED
*** THREAD 3 TERMINATED: SETCONTEXT  OF 4
*** THREAD 4 FINISHED
*** FINISH
mythread_free: No hay threads



TODO LOW PRIORITY

*** SWAPCONTEXT FROM 0 TO 1
*** SWAPCONTEXT FROM 1 TO 2
*** SWAPCONTEXT FROM 2 TO 3
*** SWAPCONTEXT FROM 3 TO 4
*** SWAPCONTEXT FROM 4 TO 5
*** SWAPCONTEXT FROM 5 TO 0
*** THREAD 0 FINISHED
*** THREAD 0 TERMINATED: SETCONTEXT  OF 1
*** SWAPCONTEXT FROM 1 TO 2
*** SWAPCONTEXT FROM 2 TO 3
*** SWAPCONTEXT FROM 3 TO 4
*** SWAPCONTEXT FROM 4 TO 5
*** SWAPCONTEXT FROM 5 TO 1
*** SWAPCONTEXT FROM 1 TO 2
*** SWAPCONTEXT FROM 2 TO 3
*** SWAPCONTEXT FROM 3 TO 4
*** SWAPCONTEXT FROM 4 TO 5
*** SWAPCONTEXT FROM 5 TO 1
*** SWAPCONTEXT FROM 1 TO 2
*** SWAPCONTEXT FROM 2 TO 3
*** SWAPCONTEXT FROM 3 TO 4
*** SWAPCONTEXT FROM 4 TO 5
*** SWAPCONTEXT FROM 5 TO 1
*** SWAPCONTEXT FROM 1 TO 2
*** SWAPCONTEXT FROM 2 TO 3
*** SWAPCONTEXT FROM 3 TO 4
*** SWAPCONTEXT FROM 4 TO 5
*** SWAPCONTEXT FROM 5 TO 1
*** SWAPCONTEXT FROM 1 TO 2
*** SWAPCONTEXT FROM 2 TO 3
*** SWAPCONTEXT FROM 3 TO 4
*** SWAPCONTEXT FROM 4 TO 5
*** THREAD 5 FINISHED
*** THREAD 5 TERMINATED: SETCONTEXT  OF 1
*** SWAPCONTEXT FROM 1 TO 2
*** SWAPCONTEXT FROM 2 TO 3
*** SWAPCONTEXT FROM 3 TO 4
*** SWAPCONTEXT FROM 4 TO 1
*** SWAPCONTEXT FROM 1 TO 2
*** SWAPCONTEXT FROM 2 TO 3
*** SWAPCONTEXT FROM 3 TO 4
*** SWAPCONTEXT FROM 4 TO 1
*** SWAPCONTEXT FROM 1 TO 2
*** SWAPCONTEXT FROM 2 TO 3
*** SWAPCONTEXT FROM 3 TO 4
*** SWAPCONTEXT FROM 4 TO 1
*** SWAPCONTEXT FROM 1 TO 2
*** SWAPCONTEXT FROM 2 TO 3
*** SWAPCONTEXT FROM 3 TO 4
*** SWAPCONTEXT FROM 4 TO 1
*** THREAD 1 FINISHED
*** THREAD 1 TERMINATED: SETCONTEXT  OF 2
*** THREAD 2 FINISHED
*** THREAD 2 TERMINATED: SETCONTEXT  OF 3
*** THREAD 3 FINISHED
*** THREAD 3 TERMINATED: SETCONTEXT  OF 4
*** THREAD 4 FINISHED
*** FINISH
mythread_free: No hay threads

*** SWAPCONTEXT FROM 0 TO 0
*** THREAD 0 FINISHED
*** SWAPCONTEXT FROM 1 TO 1
*** SWAPCONTEXT FROM 2 TO 2
*** SWAPCONTEXT FROM 3 TO 3
*** SWAPCONTEXT FROM 4 TO 4
*** SWAPCONTEXT FROM 5 TO 5
*** SWAPCONTEXT FROM 1 TO 1
*** SWAPCONTEXT FROM 2 TO 2
*** SWAPCONTEXT FROM 3 TO 3
*** SWAPCONTEXT FROM 4 TO 4
*** SWAPCONTEXT FROM 5 TO 5
*** SWAPCONTEXT FROM 1 TO 1
*** SWAPCONTEXT FROM 2 TO 2
*** SWAPCONTEXT FROM 3 TO 3
*** SWAPCONTEXT FROM 4 TO 4
*** SWAPCONTEXT FROM 5 TO 5
*** SWAPCONTEXT FROM 1 TO 1
*** SWAPCONTEXT FROM 2 TO 2
*** SWAPCONTEXT FROM 3 TO 3
*** SWAPCONTEXT FROM 4 TO 4
*** SWAPCONTEXT FROM 5 TO 5
*** SWAPCONTEXT FROM 1 TO 1
*** SWAPCONTEXT FROM 2 TO 2
*** SWAPCONTEXT FROM 3 TO 3
*** SWAPCONTEXT FROM 4 TO 4
*** SWAPCONTEXT FROM 5 TO 5
*** THREAD 5 FINISHED
*** SWAPCONTEXT FROM 1 TO 1
*** SWAPCONTEXT FROM 2 TO 2
*** SWAPCONTEXT FROM 3 TO 3
*** SWAPCONTEXT FROM 4 TO 4
*** SWAPCONTEXT FROM 1 TO 1
*** SWAPCONTEXT FROM 2 TO 2
*** SWAPCONTEXT FROM 3 TO 3
*** SWAPCONTEXT FROM 4 TO 4
*** SWAPCONTEXT FROM 1 TO 1
*** SWAPCONTEXT FROM 2 TO 2
*** SWAPCONTEXT FROM 3 TO 3
*** SWAPCONTEXT FROM 4 TO 4
*** SWAPCONTEXT FROM 1 TO 1
*** SWAPCONTEXT FROM 2 TO 2
*** SWAPCONTEXT FROM 3 TO 3
*** SWAPCONTEXT FROM 4 TO 4
*** SWAPCONTEXT FROM 1 TO 1
*** THREAD 1 FINISHED
*** SWAPCONTEXT FROM 2 TO 2
*** THREAD 2 FINISHED
*** SWAPCONTEXT FROM 3 TO 3
*** THREAD 3 FINISHED
*** SWAPCONTEXT FROM 4 TO 4
*** THREAD 4 FINISHED
*** FINISH
mythread_free: No hay threads
